method,corpus_chrf,corpus_chrf_ci_low,corpus_chrf_ci_high,mean_judge_overall,mean_judge_overall_ci_low,mean_judge_overall_ci_high,exact_match_rate,exact_match_rate_ci_low,exact_match_rate_ci_high
candidate_pool_vote,30.0648,22.3046,39.3047,2.94,2.58,3.32,0.26,0.14,0.38
candidate_pool_pairwise_mbr,34.7631,26.5094,44.0258,2.64,2.24,3.04,0.22,0.12,0.34
frontier_deepseek_v32_fewshot_cot,28.5403,20.872,37.5968,2.8,2.44,3.2,0.24,0.12,0.36
hybrid_multi3_catalog_gpt54,34.8741,26.7461,44.5081,3.02,2.64,3.42,0.28,0.16,0.4
open_local_qwen_reranker,30.8462,23.0887,39.9207,2.82,2.44,3.22,0.24,0.12,0.36
baseline3_2_multitask,25.9875,18.5598,34.0117,1.98,1.64,2.36,0.1,0.02,0.18
final_v2,19.3893,12.9729,26.8219,1.68,1.4,1.98,0.04,0.0,0.1
final_gap04_multitask_sigmoid,30.0055,22.0407,38.8623,2.22,1.9,2.56,0.1,0.02,0.18
open_hybrid_heuristic_guarded,32.6175,25.2011,41.421,2.9,2.54,3.28,0.24,0.12,0.36
